Fecha,Dia_Semana,Hora,Categoria,Producto,Precio,Cliente_Tipo,Calificacion_Cliente
2024-01-01,Lunes,08:56,Panadería,Croissant de Mantequilla,2.75,Nuevo,4
2024-01-01,Lunes,09:25,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-01,Lunes,09:59,Bebidas Frías,Frappuccino,4.5,Recurrente,5
2024-01-01,Lunes,10:07,Bebidas Calientes,Cappuccino,3.25,Recurrente,4
2024-01-01,Lunes,13:16,Bebidas Frías,Frappuccino,4.5,Recurrente,4
2024-01-01,Lunes,13:43,Bebidas Frías,Frappuccino,4.5,Recurrente,5
2024-01-01,Lunes,14:24,Bebidas Frías,Cold Brew,4.0,Recurrente,5
2024-01-01,Lunes,14:44,Bebidas Frías,Cold Brew,4.0,Nuevo,5
2024-01-01,Lunes,15:28,Bebidas Frías,Cold Brew,4.0,Recurrente,4
2024-01-02,Martes,07:01,Bebidas Calientes,Latte,3.5,Recurrente,4
2024-01-02,Martes,09:44,Bebidas Calientes,Cappuccino,3.25,Recurrente,4
2024-01-02,Martes,10:28,Bebidas Calientes,Cappuccino,3.25,Recurrente,5
2024-01-02,Martes,10:37,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-02,Martes,10:54,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-02,Martes,12:13,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-02,Martes,13:22,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-02,Martes,15:17,Bebidas Frías,Frappuccino,4.5,Recurrente,5
2024-01-02,Martes,19:31,Bebidas Calientes,Cappuccino,3.25,Recurrente,4
2024-01-03,Miércoles,07:33,Panadería,Croissant de Mantequilla,2.75,Nuevo,5
2024-01-03,Miércoles,08:02,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-03,Miércoles,10:05,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-03,Miércoles,11:29,Bebidas Calientes,Latte,3.5,Recurrente,4
2024-01-03,Miércoles,13:08,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-03,Miércoles,15:08,Bebidas Frías,Frappuccino,4.5,Nuevo,5
2024-01-03,Miércoles,16:10,Postres,Galleta de Chocolate,1.75,Recurrente,5
2024-01-04,Jueves,07:09,Bebidas Calientes,Cappuccino,3.25,Recurrente,4
2024-01-04,Jueves,07:15,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-04,Jueves,07:45,Bebidas Calientes,Té Chai,3.75,Nuevo,5
2024-01-04,Jueves,07:59,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-04,Jueves,07:59,Bebidas Frías,Frappuccino,4.5,Nuevo,4
2024-01-04,Jueves,08:20,Bebidas Calientes,Americano,2.5,Nuevo,2
2024-01-04,Jueves,09:45,Bebidas Frías,Frappuccino,4.5,Nuevo,5
2024-01-04,Jueves,11:13,Bebidas Calientes,Cappuccino,3.25,Recurrente,5
2024-01-04,Jueves,11:43,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-04,Jueves,12:58,Bebidas Calientes,Cappuccino,3.25,Recurrente,5
2024-01-05,Viernes,07:02,Bebidas Calientes,Latte,3.5,Recurrente,4
2024-01-05,Viernes,07:24,Bebidas Calientes,Cappuccino,3.25,Recurrente,5
2024-01-05,Viernes,07:55,Panadería,Croissant de Mantequilla,2.75,Recurrente,4
2024-01-05,Viernes,08:05,Panadería,Croissant de Mantequilla,2.75,Nuevo,5
2024-01-05,Viernes,09:48,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-05,Viernes,11:05,Panadería,Croissant de Mantequilla,2.75,Recurrente,5
2024-01-05,Viernes,11:47,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-05,Viernes,12:42,Bebidas Frías,Frappuccino,4.5,Nuevo,5
2024-01-05,Viernes,12:47,Bebidas Calientes,Latte,3.5,Recurrente,5
2024-01-05,Viernes,14:30,Panadería,Croissant de Mantequilla,2.75,Recurrente,4
2024-01-05,Viernes,15:24,Postres,Pastel de Zanahoria,4.25,Recurrente,5
2024-01-05,Viernes,15:30,Bebidas Frías,Cold Brew,4.0,Recurrente,5
2024-01-06,Sábado,07:37,Bebidas Frías,Frappuccino,4.5,Nuevo,4
2024-01-06,Sábado,09:04,Bebidas Calientes,Cappuccino,3.25,Recurrente,4
2024-01-06,Sábado,09:30,Bebidas Frías,Frappuccino,4.5,Nuevo,4
2024-01-06,Sábado,10:23,Panadería,Muffin de Arándanos,2.25,Recurrente,5
2024-01-06,Sábado,13:07,Bebidas Frías,Cold Brew,4.0,Recurrente,5
2024-01-06,Sábado,14:36,Bebidas Frías,Cold Brew,4.0,Nuevo,5
2024-01-07,Domingo,07:11,Bebidas Calientes,Cappuccino,3.25,Nuevo,5
